id,kind,file,line
app.llm.config.rules.get_routing_rule,function,app/llm/config/rules.py,778
app.llm.experiment,module,app/llm/experiment.py,0
app.llm.experiment.Experiment,class,app/llm/experiment.py,24
app.llm.experiment.ExperimentService,class,app/llm/experiment.py,73
app.llm.experiment.ExperimentVariant,class,app/llm/experiment.py,16
app.llm.experiment.__init__,function,app/llm/experiment.py,80
app.llm.experiment.disable_experiment,function,app/llm/experiment.py,163
app.llm.experiment.enable_experiment,function,app/llm/experiment.py,146
app.llm.experiment.get_variant,function,app/llm/experiment.py,89
app.llm.experiment.is_experiment_enabled,function,app/llm/experiment.py,141
app.llm.experiment.list_experiments,function,app/llm/experiment.py,180
app.llm.fallback,module,app/llm/fallback.py,0
app.llm.fallback.FallbackService,class,app/llm/fallback.py,30
app.llm.fallback.__init__,function,app/llm/fallback.py,40
app.llm.fallback._build_request_for_provider,function,app/llm/fallback.py,256
app.llm.fallback._capture_provider_error,function,app/llm/fallback.py,370
app.llm.fallback._get_provider_semaphore,function,app/llm/fallback.py,294
app.llm.fallback._is_healthy,function,app/llm/fallback.py,308
app.llm.fallback._mark_healthy,function,app/llm/fallback.py,356
app.llm.fallback._mark_rate_limited,function,app/llm/fallback.py,346
app.llm.fallback._mark_unhealthy,function,app/llm/fallback.py,338
app.llm.fallback._resolve_rate_limit_cooldown_seconds,function,app/llm/fallback.py,244
app.llm.fallback._try_provider,function,app/llm/fallback.py,173
app.llm.fallback.clear_health_cache,function,app/llm/fallback.py,363
app.llm.fallback.execute_with_fallback,function,app/llm/fallback.py,79
app.llm.fallback.get_unhealthy_providers,function,app/llm/fallback.py,391
app.llm.gateway,module,app/llm/gateway.py,0
app.llm.gateway.LLMGateway,class,app/llm/gateway.py,36
app.llm.gateway.__init__,function,app/llm/gateway.py,61
app.llm.gateway._create_default_fallback_service,function,app/llm/gateway.py,79
app.llm.gateway._ensure_initialized,function,app/llm/gateway.py,106
app.llm.gateway._format_prompt_text,function,app/llm/gateway.py,532
app.llm.gateway._record_interaction,function,app/llm/gateway.py,555
app.llm.gateway._truncate_for_tracking,function,app/llm/gateway.py,524
app.llm.gateway.generate,function,app/llm/gateway.py,149
app.llm.gateway.generate_image,function,app/llm/gateway.py,316
app.llm.gateway.generate_stream,function,app/llm/gateway.py,256
app.llm.gateway.get_available_providers,function,app/llm/gateway.py,511
app.llm.gateway.get_unhealthy_providers,function,app/llm/gateway.py,516
app.llm.gateway.health_check_all,function,app/llm/gateway.py,491
app.llm.gateway.search_grounded,function,app/llm/gateway.py,428
app.llm.providers,module,app/llm/providers/__init__.py,0
app.llm.providers.base,module,app/llm/providers/base.py,0
app.llm.providers.base.BaseLLMProvider,class,app/llm/providers/base.py,118
app.llm.providers.base.Capability,class,app/llm/providers/base.py,13
app.llm.providers.base.ImageRequest,class,app/llm/providers/base.py,54
app.llm.providers.base.ImageResponse,class,app/llm/providers/base.py,66
app.llm.providers.base.LLMRequest,class,app/llm/providers/base.py,28
app.llm.providers.base.LLMResponse,class,app/llm/providers/base.py,40
app.llm.providers.base.SearchRequest,class,app/llm/providers/base.py,78
app.llm.providers.base.SearchResponse,class,app/llm/providers/base.py,87
app.llm.providers.base.generate,function,app/llm/providers/base.py,132
app.llm.providers.base.generate_image,function,app/llm/providers/base.py,179
app.llm.providers.base.generate_stream,function,app/llm/providers/base.py,150
app.llm.providers.base.health_check,function,app/llm/providers/base.py,166
app.llm.providers.base.search_grounded,function,app/llm/providers/base.py,188
app.llm.providers.base.supports,function,app/llm/providers/base.py,175
app.llm.providers.claude,module,app/llm/providers/claude.py,0
app.llm.providers.claude.ClaudeProvider,class,app/llm/providers/claude.py,68
app.llm.providers.claude.__init__,function,app/llm/providers/claude.py,81
app.llm.providers.claude._filter_extra_params,function,app/llm/providers/claude.py,40
app.llm.providers.claude.create_claude_provider,function,app/llm/providers/claude.py,315
app.llm.providers.claude.generate,function,app/llm/providers/claude.py,117
app.llm.providers.claude.generate_stream,function,app/llm/providers/claude.py,238
app.llm.providers.claude.health_check,function,app/llm/providers/claude.py,294
app.llm.providers.gemini,module,app/llm/providers/gemini.py,0
app.llm.providers.gemini.GeminiProvider,class,app/llm/providers/gemini.py,53
app.llm.providers.gemini.__init__,function,app/llm/providers/gemini.py,70
app.llm.providers.gemini._next_chunk,function,app/llm/providers/gemini.py,300
app.llm.providers.gemini.client,function,app/llm/providers/gemini.py,97
app.llm.providers.gemini.create_gemini_provider,function,app/llm/providers/gemini.py,515
app.llm.providers.gemini.generate,function,app/llm/providers/gemini.py,103
app.llm.providers.gemini.generate_image,function,app/llm/providers/gemini.py,322
app.llm.providers.gemini.generate_stream,function,app/llm/providers/gemini.py,240
app.llm.providers.gemini.health_check,function,app/llm/providers/gemini.py,493
